GEOID,visits_after,Population,White,Black,income_median,households,number_devices_residing,tp,wind_speed,total_storm,coastal,Elevation,innun,visits,ratio,white_per_population,income_group
220710137004,4,843,22,799,25865.0,357,205.0,130.7871461009091,33.69733562104103,2.91350605135,1.0,-0.62631565,3.53982170135,0.0,inf,0.02609727164887307,1
220710033042,8,1338,89,1197,29271.0,461,111.0,131.64674788685957,33.52900317586464,2.91350605135,1.0,-1.5877948,4.50130085135,5.333333333333333,1.5,0.06651718983557549,1
221090001011,8,1279,337,942,31068.0,479,106.0,96.9000015258789,31.061842185778406,0.0,0.0,0.0,0.0,13.666666666666666,0.5853658536585367,0.26348709929632524,1
221090013004,22,4547,2506,1274,33214.0,922,154.0,229.00000607967377,33.36013603108712,0.0,0.0,0.0,0.0,28.0,0.7857142857142857,0.5511326149109302,1
221090013003,12,1476,969,79,38880.0,471,79.0,207.63333070278168,32.837124237085064,3.25661588248,1.0,-0.058345452,3.31496133448,19.333333333333332,0.6206896551724138,0.6565040650406504,1
221090012012,19,1711,1132,506,37688.0,575,101.0,205.2389825177729,33.8675485477875,0.0,0.0,0.0,0.0,31.0,0.6129032258064516,0.6616014026884862,1
221090013001,17,736,457,0,27917.0,305,79.0,97.29736785590649,32.93502620721296,3.25661588248,1.0,-0.101236366,3.35785224848,21.333333333333332,0.796875,0.6209239130434783,1
221090003001,19,2398,1688,253,31242.0,1020,140.0,116.81177051618664,32.23984119428557,0.0,0.0,0.0,0.0,19.333333333333332,0.9827586206896552,0.7039199332777314,1
221090008005,28,800,433,238,23438.0,414,115.0,175.79999899864197,33.00579528321284,0.0,0.0,0.0,0.0,19.333333333333332,1.4482758620689655,0.54125,1
221090001012,0,2368,1200,663,35625.0,843,203.0,87.89999914169312,30.99035939408464,0.0,0.0,0.0,0.0,18.0,0.0,0.5067567567567568,1
221090011002,23,1936,1559,0,30625.0,499,113.0,164.326061869117,33.850841920309726,0.0,0.0,0.0,0.0,23.0,1.0,0.8052685950413223,1
221090014003,10,1782,1000,552,33234.0,555,88.0,127.83333641290665,32.69150241310451,0.0,0.0,0.0,0.0,13.666666666666666,0.7317073170731707,0.5611672278338945,1
221090008004,23,1286,646,431,18920.0,625,105.0,170.43626543662637,32.916674291681964,0.0,0.0,0.0,0.0,18.333333333333332,1.2545454545454546,0.5023328149300156,1
221090005005,13,828,224,191,28667.0,290,68.0,117.72220115979083,32.49958497282568,0.0,0.0,0.0,0.0,8.666666666666666,1.5,0.27053140096618356,1
221090008001,20,1249,1137,62,23041.0,522,81.0,144.4047940146441,32.84779025321325,0.0,0.0,0.0,0.0,14.0,1.4285714285714286,0.910328262610088,1
220710031002,0,844,28,805,27222.0,330,80.0,132.86471241282578,33.82011619449964,2.91350605135,1.0,-0.750064,3.6635700513500002,1.3333333333333333,0.0,0.03317535545023697,1
221179502001,26,1010,922,17,32336.0,430,93.0,162.14999971538782,27.63141460195752,0.0,0.0,0.0,0.0,23.666666666666668,1.0985915492957745,0.9128712871287129,1
221179506001,17,1805,1404,401,38750.0,820,82.0,194.20000076293945,29.564859205219157,0.0,0.0,0.0,0.0,16.666666666666668,1.02,0.7778393351800554,1
221010409002,12,1286,982,261,31121.0,362,70.0,150.80133506655693,31.62296997520089,5.20304575394,1.0,0.013658457,5.18938729694,13.333333333333334,0.8999999999999999,0.7636080870917574,1
221059541011,20,2044,745,1171,35000.0,696,127.0,128.21439551384216,28.54874000502569,0.0,0.0,0.0,0.0,15.0,1.3333333333333333,0.36448140900195697,1
221059542002,4,1749,1172,466,24286.0,740,105.0,123.87562412269472,28.55021257767874,0.0,0.0,0.0,0.0,13.333333333333334,0.3,0.6700971983990852,1
220690007001,5,623,67,556,25500.0,204,62.0,360.6873942370427,28.96069370383893,0.0,0.0,0.0,0.0,2.6666666666666665,1.875,0.10754414125200643,1
220690006004,17,3913,1465,2289,20925.0,1098,147.0,351.900004863739,28.456285770338862,0.0,0.0,0.0,0.0,11.0,1.5454545454545454,0.3743930488116535,1
220550014052,8,1872,1012,808,33256.0,868,78.0,285.2456349316221,33.96661906835687,0.0,0.0,0.0,0.0,4.0,2.0,0.5405982905982906,1
220839703002,17,1158,1028,130,34511.0,429,101.0,271.5933401584625,24.76370554023641,0.0,0.0,0.0,0.0,13.333333333333334,1.275,0.8877374784110535,1
